iShares Core S&P 500 ETF
Fund Holdings as of,"Oct 16, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,048,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","863,074,638.12","0.12","863,074,638.12","4,838,676.00","178.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","848,857,813.30","0.12","848,857,813.30","3,136,715.00","270.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","844,424,020.00","0.12","844,424,020.00","2,012,450.00","419.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","830,572,507.20","0.12","830,572,507.20","9,577,635.00","86.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","824,723,672.34","0.12","824,723,672.34","205,774.00","4,007.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","824,327,628.48","0.12","824,327,628.48","22,904,352.00","35.99","United States","NASDAQ","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","823,398,085.60","0.12","823,398,085.60","3,913,489.00","210.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","813,845,794.59","0.12","813,845,794.59","3,630,161.00","224.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","804,670,041.10","0.12","804,670,041.10","3,258,565.00","246.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","800,729,853.12","0.12","800,729,853.12","1,830,156.00","437.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","795,334,392.90","0.11","795,334,392.90","790,866.00","1,005.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","795,047,283.08","0.11","795,047,283.08","2,755,892.00","288.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","788,155,422.84","0.11","788,155,422.84","2,628,762.00","299.82","United States","NASDAQ","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","788,009,074.00","0.11","788,009,074.00","6,678,043.00","118.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","780,108,004.00","0.11","780,108,004.00","5,445,400.00","143.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","775,924,965.64","0.11","775,924,965.64","4,208,749.00","184.36","United States","NASDAQ","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","775,274,512.64","0.11","775,274,512.64","9,929,233.00","78.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","775,305,666.15","0.11","775,305,666.15","11,738,163.00","66.05","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","774,425,135.08","0.11","774,425,135.08","9,042,797.00","85.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","772,188,201.61","0.11","772,188,201.61","6,570,137.00","117.53","United States","NASDAQ","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","760,969,541.80","0.11","760,969,541.80","2,382,497.00","319.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","744,051,739.26","0.11","744,051,739.26","2,889,858.00","257.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","735,579,409.80","0.11","735,579,409.80","17,639,794.00","41.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","730,577,510.88","0.10","730,577,510.88","8,015,992.00","91.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","723,537,147.24","0.10","723,537,147.24","2,766,132.00","261.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","719,459,598.00","0.10","719,459,598.00","6,708,248.00","107.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","717,067,015.84","0.10","717,067,015.84","2,768,171.00","259.04","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","715,656,390.60","0.10","715,656,390.60","1,693,180.00","422.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","712,580,919.05","0.10","712,580,919.05","1,251,965.00","569.17","United States","NASDAQ","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","708,882,754.46","0.10","708,882,754.46","4,010,879.00","176.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","692,154,370.74","0.10","692,154,370.74","2,733,843.00","253.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","687,932,900.64","0.10","687,932,900.64","16,473,489.00","41.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","685,222,699.32","0.10","685,222,699.32","3,938,967.00","173.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","683,221,505.40","0.10","683,221,505.40","5,653,935.00","120.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","676,607,568.20","0.10","676,607,568.20","3,735,068.00","181.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","673,504,872.96","0.10","673,504,872.96","3,097,856.00","217.41","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","670,736,886.26","0.10","670,736,886.26","11,697,539.00","57.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","666,041,685.54","0.10","666,041,685.54","11,233,626.00","59.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","665,346,639.64","0.10","665,346,639.64","8,002,726.00","83.14","United States","NASDAQ","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","661,152,767.52","0.09","661,152,767.52","1,322,094.00","500.08","United States","NASDAQ","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","653,686,482.39","0.09","653,686,482.39","24,023,759.00","27.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","653,619,383.41","0.09","653,619,383.41","2,299,129.00","284.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","652,447,943.62","0.09","652,447,943.62","3,521,606.00","185.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","650,929,084.05","0.09","650,929,084.05","15,841,545.00","41.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","647,782,437.82","0.09","647,782,437.82","5,271,238.00","122.89","United States","NASDAQ","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","637,355,920.08","0.09","637,355,920.08","4,965,378.00","128.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","635,621,371.42","0.09","635,621,371.42","10,485,341.00","60.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","631,655,838.57","0.09","631,655,838.57","2,666,227.00","236.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","631,186,384.53","0.09","631,186,384.53","5,913,861.00","106.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","630,822,467.52","0.09","630,822,467.52","3,236,979.00","194.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","629,026,443.21","0.09","629,026,443.21","964,513.00","652.17","United States","NASDAQ","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","626,569,591.34","0.09","626,569,591.34","983,101.00","637.34","United States","NASDAQ","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","623,769,278.33","0.09","623,769,278.33","4,018,873.00","155.21","United States","NASDAQ","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","614,453,702.72","0.09","614,453,702.72","8,757,892.00","70.16","United States","NASDAQ","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","613,960,995.96","0.09","613,960,995.96","6,451,881.00","95.16","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","604,117,974.39","0.09","604,117,974.39","588,333.00","1,026.83","United States","NASDAQ","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","604,126,873.60","0.09","604,126,873.60","2,654,336.00","227.60","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","603,428,241.72","0.09","603,428,241.72","18,330,141.00","32.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","600,333,862.50","0.09","600,333,862.50","3,971,250.00","151.17","United States","NASDAQ","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","596,891,836.32","0.09","596,891,836.32","3,816,688.00","156.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","595,256,494.69","0.09","595,256,494.69","1,940,653.00","306.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","591,614,852.16","0.08","591,614,852.16","14,099,496.00","41.96","United States","NASDAQ","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","590,717,199.38","0.08","590,717,199.38","2,613,446.00","226.03","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","589,247,702.30","0.08","589,247,702.30","7,265,693.00","81.10","United States","NASDAQ","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","587,694,976.00","0.08","587,694,976.00","12,409,100.00","47.36","United States","NASDAQ","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","563,826,519.66","0.08","563,826,519.66","48,026,109.00","11.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","563,714,937.53","0.08","563,714,937.53","3,725,563.00","151.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","559,721,972.42","0.08","559,721,972.42","3,601,351.00","155.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","557,782,867.75","0.08","557,782,867.75","9,828,773.00","56.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","556,325,229.03","0.08","556,325,229.03","30,416,907.00","18.29","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","554,315,958.30","0.08","554,315,958.30","2,766,738.00","200.35","United States","NASDAQ","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","552,398,391.60","0.08","552,398,391.60","2,130,920.00","259.23","United States","NASDAQ","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","544,148,430.49","0.08","544,148,430.49","2,493,463.00","218.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","542,255,291.82","0.08","542,255,291.82","1,159,334.00","467.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","540,726,909.12","0.08","540,726,909.12","12,113,058.00","44.64","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","536,671,165.92","0.08","536,671,165.92","4,262,001.00","125.92","United States","NASDAQ","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","534,210,004.16","0.08","534,210,004.16","6,862,924.00","77.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","526,685,831.36","0.08","526,685,831.36","5,485,168.00","96.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","524,626,491.36","0.08","524,626,491.36","5,350,056.00","98.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","524,278,451.86","0.08","524,278,451.86","6,807,043.00","77.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","524,038,253.50","0.08","524,038,253.50","7,213,190.00","72.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","523,424,143.09","0.08","523,424,143.09","2,837,141.00","184.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","520,822,429.08","0.07","520,822,429.08","3,405,849.00","152.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","520,099,692.72","0.07","520,099,692.72","7,737,276.00","67.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","517,109,540.66","0.07","517,109,540.66","6,131,249.00","84.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","515,877,633.60","0.07","515,877,633.60","540,435.00","954.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","514,721,229.12","0.07","514,721,229.12","7,472,724.00","68.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","511,979,529.56","0.07","511,979,529.56","5,615,042.00","91.18","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","508,961,369.00","0.07","508,961,369.00","8,343,629.00","61.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","506,735,400.78","0.07","506,735,400.78","950,117.00","533.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","503,865,578.58","0.07","503,865,578.58","3,983,442.00","126.49","United States","NASDAQ","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","503,303,472.04","0.07","503,303,472.04","6,752,126.00","74.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","502,782,268.96","0.07","502,782,268.96","5,582,128.00","90.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","496,049,550.36","0.07","496,049,550.36","2,010,414.00","246.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","492,372,118.60","0.07","492,372,118.60","3,489,526.00","141.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","489,805,046.16","0.07","489,805,046.16","5,569,764.00","87.94","United States","NASDAQ","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","488,970,104.42","0.07","488,970,104.42","3,410,309.00","143.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","487,874,457.00","0.07","487,874,457.00","4,075,810.00","119.70","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","485,765,100.00","0.07","485,765,100.00","1,799,130.00","270.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","481,487,315.76","0.07","481,487,315.76","10,929,232.00","44.06","United States","NASDAQ","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","481,328,324.80","0.07","481,328,324.80","7,969,012.00","60.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","480,798,678.52","0.07","480,798,678.52","1,381,526.00","348.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","480,719,377.93","0.07","480,719,377.93","1,622,791.00","296.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","477,678,837.32","0.07","477,678,837.32","294,838.00","1,620.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","462,646,190.16","0.07","462,646,190.16","16,689,978.00","27.72","United States","NASDAQ","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","462,483,549.01","0.07","462,483,549.01","5,866,847.00","78.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","462,189,401.08","0.07","462,189,401.08","740,522.00","624.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","459,529,590.96","0.07","459,529,590.96","3,954,984.00","116.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","449,687,436.12","0.06","449,687,436.12","2,933,956.00","153.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","447,804,380.52","0.06","447,804,380.52","4,430,636.00","101.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","445,532,653.50","0.06","445,532,653.50","27,001,979.00","16.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","437,214,910.82","0.06","437,214,910.82","4,822,046.00","90.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","433,291,477.35","0.06","433,291,477.35","6,630,321.00","65.35","United States","NASDAQ","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","433,190,295.58","0.06","433,190,295.58","2,991,026.00","144.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","431,793,436.85","0.06","431,793,436.85","4,324,421.00","99.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","429,835,822.75","0.06","429,835,822.75","2,089,117.00","205.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","428,363,627.76","0.06","428,363,627.76","3,454,824.00","123.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","422,363,644.25","0.06","422,363,644.25","6,417,925.00","65.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","411,570,882.18","0.06","411,570,882.18","5,608,761.00","73.38","United States","NASDAQ","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","408,226,591.08","0.06","408,226,591.08","7,667,667.00","53.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","406,610,041.50","0.06","406,610,041.50","2,100,150.00","193.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","403,772,712.16","0.06","403,772,712.16","2,376,112.00","169.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","402,617,853.05","0.06","402,617,853.05","13,101,785.00","30.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DD","DUPONT DE NEMOURS INC","Materials","Equity","401,900,954.39","0.06","401,900,954.39","5,144,003.00","78.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","396,315,376.00","0.06","396,315,376.00","2,607,338.00","152.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","394,801,426.24","0.06","394,801,426.24","1,477,108.00","267.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","393,805,339.14","0.06","393,805,339.14","4,566,918.00","86.23","United States","NASDAQ","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","393,658,083.90","0.06","393,658,083.90","3,485,242.00","112.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","393,232,570.38","0.06","393,232,570.38","1,716,723.00","229.06","United States","NASDAQ","USD","1.00","USD","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","393,042,072.00","0.06","393,042,072.00","1,198,299.00","328.00","United States","NASDAQ","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","392,839,510.06","0.06","392,839,510.06","6,000,298.00","65.47","United States","NASDAQ","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","390,579,887.43","0.06","390,579,887.43","3,977,797.00","98.19","United States","NASDAQ","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","387,744,936.15","0.06","387,744,936.15","5,575,053.00","69.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","386,972,716.40","0.06","386,972,716.40","5,204,744.00","74.35","United States","NASDAQ","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","386,783,843.60","0.06","386,783,843.60","2,643,772.00","146.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","383,871,815.59","0.06","383,871,815.59","3,628,621.00","105.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","377,764,834.00","0.05","377,764,834.00","549,700.00","687.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","377,563,554.00","0.05","377,563,554.00","377,563,554.00","100.00","United States","-","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","376,285,206.57","0.05","376,285,206.57","13,338,717.00","28.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","374,839,002.60","0.05","374,839,002.60","5,470,505.00","68.52","United States","NASDAQ","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","374,035,267.98","0.05","374,035,267.98","2,819,503.00","132.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","371,262,092.20","0.05","371,262,092.20","5,902,418.00","62.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","362,750,040.00","0.05","362,750,040.00","16,122,224.00","22.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","362,351,763.36","0.05","362,351,763.36","8,829,234.00","41.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","360,952,208.50","0.05","360,952,208.50","2,550,899.00","141.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","359,115,815.24","0.05","359,115,815.24","6,510,439.00","55.16","United States","NASDAQ","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","349,482,369.60","0.05","349,482,369.60","3,321,760.00","105.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","349,228,760.86","0.05","349,228,760.86","2,180,227.00","160.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","347,828,448.24","0.05","347,828,448.24","1,972,152.00","176.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EFX","EQUIFAX INC","Industrials","Equity","345,695,705.60","0.05","345,695,705.60","1,521,548.00","227.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","343,978,610.78","0.05","343,978,610.78","252,998.00","1,359.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEN","LENNAR A CORP CLASS A","Consumer Discretionary","Equity","343,534,076.05","0.05","343,534,076.05","2,795,915.00","122.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","343,455,410.63","0.05","343,455,410.63","2,114,743.00","162.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","343,221,668.72","0.05","343,221,668.72","2,396,632.00","143.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","343,053,734.73","0.05","343,053,734.73","1,920,471.00","178.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","339,971,330.00","0.05","339,971,330.00","1,819,975.00","186.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
