As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2025-10-17,LYB,7363584.0000000000,0.4889894641,LYONDELLBASELL INDUSTRIES NV CLASS,BBG000WCFWH2,GB,USD,XNYS,1.0000000000,USD,Materials
2025-10-17,UNM,4484002.0000000000,0.4784658255,UNUM,BBG000BW2T82,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,SWKS,4248578.0000000000,0.4581420788,SKYWORKS SOLUTIONS INC,BBG000KLDQZ0,US,USD,XNGS,1.0000000000,USD,Information Technology
2025-10-17,IPG,10476485.0000000000,0.3995839283,INTERPUBLIC GROUP OF COMPANIES INC,BBG000C90HC5,US,USD,XNYS,1.0000000000,USD,Communication Services
2025-10-17,CMA,3678596.0000000000,0.3933755851,COMERICA INC,BBG000C75Q34,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,OVV,7350386.0000000000,0.3878511858,OVINTIV INC,BBG00R2NHQH3,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,AFG,1979600.0000000000,0.3764020754,AMERICAN FINANCIAL GROUP INC,BBG000DPKMB6,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,ALV,2022091.0000000000,0.3547285552,AUTOLIV INC,BBG000BVLVN1,SE,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,APA,10237414.0000000000,0.3409537098,APA CORP,BBG00YTSQK72,US,USD,XNGS,1.0000000000,USD,Energy
2025-10-17,DINO,4550308.0000000000,0.3335988855,HF SINCLAIR CORP,BBG0135B2214,US,USD,XNYS,1.0000000000,USD,Energy
2025-10-17,COLB,8559277.0000000000,0.2983249118,COLUMBIA BANKING SYSTEM INC,BBG000CTH780,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,MTN,1062350.0000000000,0.2301137742,VAIL RESORTS INC,BBG000BCMYM7,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,NXST,815883.0000000000,0.2237680351,NEXSTAR MEDIA GROUP INC,BBG000DZK4M2,US,USD,XNGS,1.0000000000,USD,Communication Services
2025-10-17,JHG,3568033.0000000000,0.2180301044,JANUS HENDERSON GROUP PLC,BBG00GSNPM34,GB,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,MC,2121757.0000000000,0.2061843128,MOELIS CLASS A,BBG0063JJ1M4,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,OZK,3027234.0000000000,0.2061127955,BANK OZK,BBG00GFPL160,US,USD,XNGS,1.0000000000,USD,Financials
2025-10-17,RDN,3874730.0000000000,0.1836943245,RADIAN GROUP INC,BBG000BMWXG3,US,USD,XNYS,1.0000000000,USD,Financials
2025-10-17,SIG,1177919.0000000000,0.1760897616,SIGNET JEWELERS LTD,BBG000C50012,BM,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,WHR,1599344.0000000000,0.1671824000,WHIRLPOOL CORP,BBG000BWSW50,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2025-10-17,MSM,1306415.0000000000,0.1616097769,MSC INDUSTRIAL INC CLASS A,BBG000BCM158,US,USD,XNYS,1.0000000000,USD,Industrials
2025-10-17,FHI,2115857.0000000000,0.1569888423,FEDERATED HERMES INC CLASS B,BBG000BP0BK4,US,USD,XNYS,1.0000000000,USD,Financials
